Branch,Username,Date,Review
네이버플레이스,shine0nyou,22.9.18.일,"라떼매니아 남친은 폴바셋 최애 라떼 무족권임 그렇게맛잇나봐여 나는 우유맛을 즐기지않아서 아스크림 먹으러 종종감 피스타치오코코넛칩 6500원 ㅈ
ㅁㅌ이니까 꼭 이거 드세요 제발... 코코넛칩 뭔데이렇게잘어울리고난리임 이거만든사람 승진시켜야됨"
네이버플레이스,double9,23.5.4.목,잘받았습니다많이파시고번창하세요
네이버플레이스,건우엄마49,23.3.31.금,굿굿
네이버플레이스,IamanEpicurean,23.4.1.토,룽고 👍👍👍
네이버플레이스,냐앙이,23.1.29.일,굿굿
네이버플레이스,리꼴레또61,23.5.24.수,이곳 또한 자주  갑니다~~^
네이버플레이스,scothally,23.6.28.수,"...,.. .,."
네이버플레이스,아미쿠스,23.1.28.토,정말 좋아요! 추천해요~ ^^
네이버플레이스,캐롤라인99,22.12.29.목,"선물받은거고 영수증 들어있는데
교환이 안되는게 아쉽네요"
네이버플레이스,cin****,22.12.8.목,"라떼는 역시 폴바셋!! 키오스크에 크게 할인 카드는 카운터에서만  적용 가능하다고 표기해 주심 좋을 것 같아요. 키오스크 주문 다 눌러 놓고 통신사 할
인 적용 불가로 카운터로 다시 갔네요."
네이버플레이스,dnw****,22.12.28.수,"먹기전에 사진을 찍었어야 했는데 ㅜ 
맛있게 잘 먹었어요~"
네이버플레이스,vy0****,23.4.3.월,ㄱ
네이버플레이스,urainbow,23.2.24.금,아이스크림 짱 맛
네이버플레이스,목표39,23.5.12.금,좋아요
네이버플레이스,요코하마베이비시파카,22.12.21.수,"맛있고 양도 많이 주시는 거 같아요 ! 
매장도 넓고 깔끔해서 ~ 추천합니다 ! "
네이버플레이스,아보카도3821,23.1.25.수,맛있는데 디카페인은 좀 밍밍해요
네이버플레이스,맛집덕후 시나모롤,22.12.21.수,폴바셋은 라떼지예
네이버플레이스,데앙33,23.4.1.토,좋아요
네이버플레이스,솔직하고 당당한게 취미,22.12.17.토,아이스크림 라떼 맛있어요
네이버플레이스,몽이7098,22.11.19.토,아이스크림라떼 맛있어요
네이버플레이스,miso226,23.6.15.목,긋
네이버플레이스,캐롤라인99,22.9.16.금,"폴바셋 회사 1층이라 자주이용.
신한카드 탑스쿠폰으로 저렴하게 이용해서 뿌듯"
네이버플레이스,stella0727,22.10.10.월,폴바셋 커피 역시 맛있네요! 연휴라 그런지 사람도 없어서 너무 조용하고 여유로웠어요. 건물은 오래되서 화장실이 좀 아쉬운거 빼곤 매장 분위기 좋아서 편하게 머물렀습니다👍🏻
네이버플레이스,doa****,23.1.15.일,직원들분들 모두 친절하시네요 덕분에 기분 좋은 하루가 되었어요
네이버플레이스,seo0524kr,23.3.8.수,"항상 사람이 많고
커피맛은 일반적입니다"
네이버플레이스,songbly53,23.4.9.일,맛있어요
네이버플레이스,ranikiki,22.12.10.토,스페니쉬라떼 진짜 존맛
네이버플레이스,목표39,23.3.2.목,라떼 진하고 좋아요
네이버플레이스,건태궁,23.5.2.화,커피가 고급져요
네이버플레이스,smileyyh8918,22.12.5.월,여의도에 폴바셋이 생겨 점심후 들러봤어요. 라떼 맛있네요~
네이버플레이스,미래는나의것,22.11.17.목,여의도라 시끌시끌 시장같은 까페 음료는 먹을만
네이버플레이스,HJHJHJHJ,22.12.6.화,스페니쉬라떼 젤 맛있어요!!!!❤️
네이버플레이스,양배추찡,23.1.8.일,"라떼 맛있어요
카드할인받아서 마셨네요"
네이버플레이스,지금이순간z,22.11.6.일,안에 들어간 우유가 맛있어요
네이버플레이스,코코6519,23.2.27.월,좋어요
네이버플레이스,cro****,23.3.31.금,굿
네이버플레이스,urainbow,23.3.31.금,굿
네이버플레이스,수땅32,22.11.19.토,뭔가 다른 커피전문점보다 친절하고 쾌적하고 자리 넓은 느낌이 들고 조용한 편.
네이버플레이스,토리히트맘,22.12.1.목,아이스크림 맛나여
네이버플레이스,렉시6282,23.1.4.수,친절하고 공간도 넓어 쾌적
네이버플레이스,Elena love,22.11.2.수,분위기 좋네요.스페니쉬 크림 콜드브루 먹었어요.워낙 콜드브루 좋아하는데 아인슈페너 느낌나네요. 담엔 아이스크림라떼 먹어봐야겠어요🤗
네이버플레이스,푸드르르,23.1.1.일,점심에는 사람이 너무너무 많지만 ㅜ 맛있어서 자꾸 가요..
네이버플레이스,수땅32,22.11.26.토,커피야 말할 것 없고 너무 친절하심
네이버플레이스,urainbow,23.3.23.목,굿
네이버플레이스,songbly53,23.3.23.목,굿국
